BattleId,Date,Name,City,Country
1,02/07/1981 00:00:00,Round_1,Nagoya,Japan
2,12/13/1988 00:00:00,Round_2,Hiroshima,Japan
3,03/02/1998 00:00:00,Round_3,Nagoya,Japan
4,07/18/1990 00:00:00,Round_4,Shijuku,Japan
5,04/14/2013 00:00:00,Round_5,Hiroshima,Japan
6,02/17/1983 00:00:00,Round_6,Hiroshima,Japan
7,01/18/2015 00:00:00,Round_7,Hiroshima,Japan
8,04/07/2017 00:00:00,Round_8,Nagoya,Japan
9,09/14/1990 00:00:00,Round_9,Wakayama,Japan
10,08/10/1977 00:00:00,Round_10,Nagasaki,Japan
11,01/27/1975 00:00:00,Round_11,Nagoya,Japan
12,05/24/1996 00:00:00,Round_12,Nagasaki,Japan
13,03/17/1977 00:00:00,Round_13,Nagoya,Japan
14,06/07/1975 00:00:00,Round_14,Shijuku,Japan
15,06/01/2015 00:00:00,Round_15,Nagasaki,Japan
16,12/31/1984 00:00:00,Round_16,Wakayama,Japan
17,11/30/1986 00:00:00,Round_17,Shijuku,Japan
18,03/22/1996 00:00:00,Round_18,Nagoya,Japan
19,06/05/2009 00:00:00,Round_19,Wakayama,Japan
20,06/21/1972 00:00:00,Round_20,Nagasaki,Japan
21,10/07/2001 00:00:00,Round_21,Nagasaki,Japan
22,12/31/2011 00:00:00,Round_22,Shijuku,Japan
23,02/23/1981 00:00:00,Round_23,Wakayama,Japan
24,10/03/1982 00:00:00,Round_24,Nagasaki,Japan
25,03/01/2006 00:00:00,Round_25,Nagasaki,Japan
26,11/04/2004 00:00:00,Round_26,Wakayama,Japan
27,06/04/2020 00:00:00,Round_27,Shijuku,Japan
28,06/09/1989 00:00:00,Round_28,Shijuku,Japan
29,07/16/2003 00:00:00,Round_29,Nagoya,Japan
30,08/25/1989 00:00:00,Round_30,Shijuku,Japan
31,12/05/2014 00:00:00,Round_31,Nagoya,Japan
32,08/22/1977 00:00:00,Round_32,Nagasaki,Japan
